Text,Target,file name,Labels
account type freelancer,Person,24613352_0_3437483841867438799,17
Name CityWebsite PhoneEmail Practice,Person,25596525_19_493017381832871561,17
FullName Addresses Phone DOB Relatives Details,Person,25820616_1_1721811200152530444,17
Name Email Organization language Observational method Country site,Person,42098118_0_3828961273950942592,17
Full Name Country Language View Profile,Person,55750261_0_6620940596560718448,17
High Scores High Scores High Scores,Person,56587432_0_4826884858325213402,17
year birth ,Person,67223637_0_85705833866861604,17
Name Title Phone Email,Person,70307033_1_3534676265082192994,17
NamePositionOrganization AddressCityCountyStatecode PhoneFaxEmail,Person,97002157_37_8804882108100022822,17
scientific name common name state rank global rank,Plant,25983467_0_2243019254587516832,18
family preferredspeciesname common name wra score wra designation,Plant,32156062_0_5056375375263102264,18
species last recorded status    notes,Plant,33067063_1_8549415117629739823,18
scientific name common name family u status state status global rank state rank information,Plant,37822551_0_5505595561108184715,18
common name latin name type rating,Plant,37908280_0_7705474723269010154,18
PLANT DISEASE COUNTY,Plant,47199449_0_6002008131350048154,18
abbreviation specie common name,Plant,60407824_0_793377497970388034,18
abbreviation specie common name,Plant,63450419_0_8012592961815711786,18
scientific name family name common name synonyms,Plant,66758348_0_5433261871901472172,18
date preferredspeciesname common name wra score wra designation,Plant,6698373_0_7813229348012933919,18
scientific name common name abridged family habit,Plant,88523363_0_8180214313099580515,18
species location altitude type temp note wish,Plant,8929333_0_2135581147445421344,18
Country Currency ISOcode,Currency,26130822_0_9083778740341106839,8
Country Amount Currency USD Amount,Currency,37933521_0_6727449830800877555,8
Code Num E Currency Locations using currency,Currency,38699298_0_695696105529252232,8
Country Currency Currency Code,Currency,50150079_0_1209985375645286995,8
Download Name Date Added Speed,Software,2648307_0_3662743870350035178,21
software company version o certified,Software,46890270_9_3293097141869094093,21
Similar Programs License Size Rating,Software,77526612_0_8961590724422161134,21
company window data recovery,Software,8545566_0_4213948895919669638,21
Channel Time Days Language Country,TelevisionStation,34488873_1_7199968589544243960,23
network affiliate local channel ird channel broadcast format,TelevisionStation,38146710_0_3777366193503047044,23
Network Affiliate Local Channel Dish Channel,TelevisionStation,38238783_0_4144778912351744096,23
City Country Station Genre Stream Language,TelevisionStation,49688745_0_5865173677570896512,23
City Country Station Genre Stream Language,TelevisionStation,79058714_0_9111059240060469828,23
Country Language Broadcasters,TelevisionStation,80885013_0_409219691669125095,23
