3#__tn,3$__tt,5$__idx,1$__cid
idx__595,tt__Zaz - Je veux (unplugged),1,1.0
tt__Zaz - Je veux (unplugged),cid__title,1.0,1
idx__595,tt__227,1,1.0
tt__227,cid__length,1.0,1
idx__595,tt__Zaz,1,1.0
tt__Zaz,cid__album,1.0,1
idx__595,tt__11,1,1.0
tt__11,cid__year,1.0,1
idx__595,tt__French,1,1.0
tt__French,cid__language,1.0,1
idx__596,tt__057-Round the Bend 8 (sting),1,1.0
tt__057-Round the Bend 8 (sting),cid__title,1.0,1
idx__596,tt__0m 4sec,1,1.0
tt__0m 4sec,cid__length,1.0,1
idx__596,tt__Christian Marsac,1,1.0
tt__Christian Marsac,cid__artist,1.0,1
idx__596,tt__Indie  Positive Pop/Rock (2008),1,1.0
tt__Indie  Positive Pop/Rock (2008),cid__album,1.0,1
idx__596,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__597,tt__Round the Bend 8 (sting),1,1.0
tt__Round the Bend 8 (sting),cid__title,1.0,1
idx__597,tt__4000,1,1.0
tt__4000,cid__length,1.0,1
idx__597,tt__Christian Marsac,1,1.0
tt__Christian Marsac,cid__artist,1.0,1
idx__597,tt__Indie  Positive Pop/Rock,1,1.0
tt__Indie  Positive Pop/Rock,cid__album,1.0,1
idx__597,tt__2008,1,1.0
tt__2008,cid__year,1.0,1
idx__597,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__598,tt__Down to Earth,1,1.0
tt__Down to Earth,cid__title,1.0,1
idx__598,tt__260666,1,1.0
tt__260666,cid__length,1.0,1
idx__598,tt__Curiosity Killed the Cat,1,1.0
tt__Curiosity Killed the Cat,cid__artist,1.0,1
idx__598,tt__Acid Jazz Classics  Volume 2,1,1.0
tt__Acid Jazz Classics  Volume 2,cid__album,1.0,1
idx__598,tt__1999,1,1.0
tt__1999,cid__year,1.0,1
idx__598,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__599,tt__London Philharmonic Orchestra  Sir John Pritchard  Norma Procter  Heather Harper - He Shall Feed His Flock (Air) Come Unto Him  All Ye That Labour (Air),1,1.0
tt__London Philharmonic Orchestra  Sir John Pritchard  Norma Procter  Heather Harper - He Shall Feed His Flock (Air) Come Unto Him  All Ye That Labour (Air),cid__title,1.0,1
idx__599,tt__356,1,1.0
tt__356,cid__length,1.0,1
idx__599,tt__The Complete Christmas Collection,1,1.0
tt__The Complete Christmas Collection,cid__album,1.0,1
idx__599,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__600,tt__Blues for Charlie (Blue and Sentimental),1,1.0
tt__Blues for Charlie (Blue and Sentimental),cid__title,1.0,1
idx__600,tt__06:48,1,1.0
tt__06:48,cid__length,1.0,1
idx__600,tt__Ike Quebec,1,1.0
tt__Ike Quebec,cid__artist,1.0,1
idx__600,tt__Blue and Sentimental,1,1.0
tt__Blue and Sentimental,cid__album,1.0,1
idx__600,tt__2010,1,1.0
tt__2010,cid__year,1.0,1
idx__601,tt__Blues for Charlie,1,1.0
tt__Blues for Charlie,cid__title,1.0,1
idx__601,tt__408973,1,1.0
tt__408973,cid__length,1.0,1
idx__601,tt__Ike Quebec,1,1.0
tt__Ike Quebec,cid__artist,1.0,1
idx__601,tt__Blue and Sentimental,1,1.0
tt__Blue and Sentimental,cid__album,1.0,1
idx__601,tt__2010,1,1.0
tt__2010,cid__year,1.0,1
idx__601,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__602,tt__Blues for Charlie - Blue and Sentimental,1,1.0
tt__Blues for Charlie - Blue and Sentimental,cid__title,1.0,1
idx__602,tt__6,1,1.0
tt__6,cid__length,1.0,1
idx__602,tt__Ike Quebec,1,1.0
tt__Ike Quebec,cid__artist,1.0,1
idx__602,tt__'10,1,1.0
tt__'10,cid__year,1.0,1
idx__602,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__603,tt__Ike Quebec - Blues for Charlie,1,1.0
tt__Ike Quebec - Blues for Charlie,cid__title,1.0,1
idx__603,tt__408,1,1.0
tt__408,cid__length,1.0,1
idx__603,tt__Blue and Sentimental,1,1.0
tt__Blue and Sentimental,cid__album,1.0,1
idx__603,tt__10,1,1.0
tt__10,cid__year,1.0,1
idx__603,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__604,tt__004-Blues for Charlie,1,1.0
tt__004-Blues for Charlie,cid__title,1.0,1
idx__604,tt__6m 48sec,1,1.0
tt__6m 48sec,cid__length,1.0,1
idx__604,tt__Ike uQebec,1,1.0
tt__Ike uQebec,cid__artist,1.0,1
idx__604,tt__BlueandSentimental(2010),1,1.0
tt__BlueandSentimental(2010),cid__album,1.0,1
idx__604,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__605,tt__002-Survived Yesterday,1,1.0
tt__002-Survived Yesterday,cid__title,1.0,1
idx__605,tt__2m 56sec,1,1.0
tt__2m 56sec,cid__length,1.0,1
idx__605,tt__Hellride,1,1.0
tt__Hellride,cid__artist,1.0,1
idx__605,tt__ and Then the Earth Moved  (2002),1,1.0
tt__ and Then the Earth Moved  (2002),cid__album,1.0,1
idx__605,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__606,tt__006-Start of My Heart,1,1.0
tt__006-Start of My Heart,cid__title,1.0,1
idx__606,tt__4m 33sec,1,1.0
tt__4m 33sec,cid__length,1.0,1
idx__606,tt__Joan as Police Woman,1,1.0
tt__Joan as Police Woman,cid__artist,1.0,1
idx__606,tt__To Survive (2008),1,1.0
tt__To Survive (2008),cid__album,1.0,1
idx__606,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__607,tt__Sucht die Kugel  die auf dem Grab sollt' sein,1,1.0
tt__Sucht die Kugel  die auf dem Grab sollt' sein,cid__title,1.0,1
idx__607,tt__222067,1,1.0
tt__222067,cid__length,1.0,1
idx__607,tt__Dan Brown,1,1.0
tt__Dan Brown,cid__artist,1.0,1
idx__607,tt__Sakrileg (feat. narrator: Wolfgang Pampel),1,1.0
tt__Sakrileg (feat. narrator: Wolfgang Pampel),cid__album,1.0,1
idx__607,tt__2004,1,1.0
tt__2004,cid__year,1.0,1
idx__607,tt__German,1,1.0
tt__German,cid__language,1.0,1
idx__608,tt__Dead of the Night,1,1.0
tt__Dead of the Night,cid__title,1.0,1
idx__608,tt__220000,1,1.0
tt__220000,cid__length,1.0,1
idx__608,tt__Venom,1,1.0
tt__Venom,cid__artist,1.0,1
idx__608,tt__American Assault,1,1.0
tt__American Assault,cid__album,1.0,1
idx__608,tt__1985,1,1.0
tt__1985,cid__year,1.0,1
idx__608,tt__Englis,1,1.0
tt__Englis,cid__language,1.0,1
idx__609,tt__Lindyhop (Unicorn Loves Deer),1,1.0
tt__Lindyhop (Unicorn Loves Deer),cid__title,1.0,1
idx__609,tt__02:55,1,1.0
tt__02:55,cid__length,1.0,1
idx__609,tt__Alamo Race Track,1,1.0
tt__Alamo Race Track,cid__artist,1.0,1
idx__609,tt__Unicorn Loves Deer,1,1.0
tt__Unicorn Loves Deer,cid__album,1.0,1
idx__609,tt__2011,1,1.0
tt__2011,cid__year,1.0,1
idx__610,tt__Hysteria - Live at Rome Olympic Stadium,1,1.0
tt__Hysteria - Live at Rome Olympic Stadium,cid__title,1.0,1
idx__610,tt__5,1,1.0
tt__5,cid__length,1.0,1
idx__610,tt__Muse,1,1.0
tt__Muse,cid__artist,1.0,1
idx__610,tt__'13,1,1.0
tt__'13,cid__year,1.0,1
idx__610,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__611,tt__009-Hysteria,1,1.0
tt__009-Hysteria,cid__title,1.0,1
idx__611,tt__5m 21sec,1,1.0
tt__5m 21sec,cid__length,1.0,1
idx__611,tt__Muse,1,1.0
tt__Muse,cid__artist,1.0,1
idx__611,tt__Live at Rome Olympic Stadium (2013),1,1.0
tt__Live at Rome Olympic Stadium (2013),cid__album,1.0,1
idx__611,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__612,tt__Ralph Stanley & The Clinch Mountain Boys - Going Up Home to Live in Green Pastures,1,1.0
tt__Ralph Stanley & The Clinch Mountain Boys - Going Up Home to Live in Green Pastures,cid__title,1.0,1
idx__612,tt__154,1,1.0
tt__154,cid__length,1.0,1
idx__612,tt__1971-1973,1,1.0
tt__1971-1973,cid__album,1.0,1
idx__612,tt__95,1,1.0
tt__95,cid__year,1.0,1
idx__612,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__613,tt__Going Up Home to Live in Green Pastures - 1971-1973,1,1.0
tt__Going Up Home to Live in Green Pastures - 1971-1973,cid__title,1.0,1
idx__613,tt__2,1,1.0
tt__2,cid__length,1.0,1
idx__613,tt__Ralph Stanley & The Clinch Mountain Boys,1,1.0
tt__Ralph Stanley & The Clinch Mountain Boys,cid__artist,1.0,1
idx__613,tt__'95,1,1.0
tt__'95,cid__year,1.0,1
idx__613,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__614,tt__008-Stella Was  a Diver and She Was Always Down,1,1.0
tt__008-Stella Was  a Diver and She Was Always Down,cid__title,1.0,1
idx__614,tt__unknown,1,1.0
tt__unknown,cid__length,1.0,1
idx__614,tt__Interpol,1,1.0
tt__Interpol,cid__artist,1.0,1
idx__614,tt__2001-08-12: La Route du Rock Festival  Saint-Malo  France (unknown),1,1.0
tt__2001-08-12: La Route du Rock Festival  Saint-Malo  France (unknown),cid__album,1.0,1
idx__614,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__615,tt__0B4-Lucille,1,1.0
tt__0B4-Lucille,cid__title,1.0,1
idx__615,tt__3m 5sec,1,1.0
tt__3m 5sec,cid__length,1.0,1
idx__615,tt__Brian Protheroe,1,1.0
tt__Brian Protheroe,cid__artist,1.0,1
idx__615,tt__I/You (1976),1,1.0
tt__I/You (1976),cid__album,1.0,1
idx__615,tt__Enng.,1,1.0
tt__Enng.,cid__language,1.0,1
idx__616,tt__Je tombe en amour encore une fois,1,1.0
tt__Je tombe en amour encore une fois,cid__title,1.0,1
idx__616,tt__150000,1,1.0
tt__150000,cid__length,1.0,1
idx__616,tt__Georges Hamel,1,1.0
tt__Georges Hamel,cid__artist,1.0,1
idx__616,tt__Ces belles années !,1,1.0
tt__Ces belles années !,cid__album,1.0,1
idx__616,tt__French,1,1.0
tt__French,cid__language,1.0,1
idx__617,tt__012MistyMountains2,1,1.0
tt__012MistyMountains2,cid__title,1.0,1
idx__617,tt__1m 4sec,1,1.0
tt__1m 4sec,cid__length,1.0,1
idx__617,tt__Bryan E. Miller,1,1.0
tt__Bryan E. Miller,cid__artist,1.0,1
idx__617,tt__Film Series: Epic and Heroic (unknown),1,1.0
tt__Film Series: Epic and Heroic (unknown),cid__album,1.0,1
idx__617,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__618,tt__Misty Mountains 2,1,1.0
tt__Misty Mountains 2,cid__title,1.0,1
idx__618,tt__64000,1,1.0
tt__64000,cid__length,1.0,1
idx__618,tt__E. Miller,1,1.0
tt__E. Miller,cid__artist,1.0,1
idx__618,tt__Film Series: Epic and Heroic,1,1.0
tt__Film Series: Epic and Heroic,cid__album,1.0,1
idx__618,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__619,tt__Misty Mountains 2 (Film Series: Epic and Heroic),1,1.0
tt__Misty Mountains 2 (Film Series: Epic and Heroic),cid__title,1.0,1
idx__619,tt__01:04,1,1.0
tt__01:04,cid__length,1.0,1
idx__619,tt__Bryan E. Miller,1,1.0
tt__Bryan E. Miller,cid__artist,1.0,1
idx__619,tt__Film Series: Epic and Heroic,1,1.0
tt__Film Series: Epic and Heroic,cid__album,1.0,1
idx__620,tt__Rae & Christian feat. Mystro  Masta Ace & Pete Simpson - A2B,1,1.0
tt__Rae & Christian feat. Mystro  Masta Ace & Pete Simpson - A2B,cid__title,1.0,1
idx__620,tt__256,1,1.0
tt__256,cid__length,1.0,1
idx__620,tt__Mercury Rising,1,1.0
tt__Mercury Rising,cid__album,1.0,1
idx__620,tt__13,1,1.0
tt__13,cid__year,1.0,1
idx__620,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__621,tt__A2B - Mercury Rising,1,1.0
tt__A2B - Mercury Rising,cid__title,1.0,1
idx__621,tt__4,1,1.0
tt__4,cid__length,1.0,1
idx__621,tt__Rae & Christian feat. Mystro  Masta Ace & Pete Simpson,1,1.0
tt__Rae & Christian feat. Mystro  Masta Ace & Pete Simpson,cid__artist,1.0,1
idx__621,tt__'13,1,1.0
tt__'13,cid__year,1.0,1
idx__621,tt__Englihs,1,1.0
tt__Englihs,cid__language,1.0,1
idx__622,tt__018-Ojos negros (polca),1,1.0
tt__018-Ojos negros (polca),cid__title,1.0,1
idx__622,tt__2m 59sec,1,1.0
tt__2m 59sec,cid__length,1.0,1
idx__622,tt__Gladys Moreno,1,1.0
tt__Gladys Moreno,cid__artist,1.0,1
idx__622,tt__Embajadora de la cancion (1993),1,1.0
tt__Embajadora de la cancion (1993),cid__album,1.0,1
idx__622,tt__Spa.,1,1.0
tt__Spa.,cid__language,1.0,1
idx__623,tt__015-Nalada s orientalnimi motivy,1,1.0
tt__015-Nalada s orientalnimi motivy,cid__title,1.0,1
idx__623,tt__2m 8sec,1,1.0
tt__2m 8sec,cid__length,1.0,1
idx__623,tt__Strasliva podivana,1,1.0
tt__Strasliva podivana,cid__artist,1.0,1
idx__623,tt__Carovne bylinky (205),1,1.0
tt__Carovne bylinky (205),cid__album,1.0,1
idx__623,tt__Cze.,1,1.0
tt__Cze.,cid__language,1.0,1
idx__624,tt__Janitor,1,1.0
tt__Janitor,cid__title,1.0,1
idx__624,tt__224000,1,1.0
tt__224000,cid__length,1.0,1
idx__624,tt__Pyrior,1,1.0
tt__Pyrior,cid__artist,1.0,1
idx__624,tt__Oceans Procellarum,1,1.0
tt__Oceans Procellarum,cid__album,1.0,1
idx__624,tt__2010,1,1.0
tt__2010,cid__year,1.0,1
idx__624,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__625,tt__Nothing at All,1,1.0
tt__Nothing at All,cid__title,1.0,1
idx__625,tt__152720,1,1.0
tt__152720,cid__length,1.0,1
idx__625,tt__Puncehrs PLANT,1,1.0
tt__Puncehrs PLANT,cid__artist,1.0,1
idx__625,tt__State of Fear,1,1.0
tt__State of Fear,cid__album,1.0,1
idx__625,tt__2008,1,1.0
tt__2008,cid__year,1.0,1
idx__625,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__626,tt__The Selecter - Times Hard (live),1,1.0
tt__The Selecter - Times Hard (live),cid__title,1.0,1
idx__626,tt__152,1,1.0
tt__152,cid__length,1.0,1
idx__626,tt__Rare Versions  Volume 3,1,1.0
tt__Rare Versions  Volume 3,cid__album,1.0,1
idx__626,tt__95,1,1.0
tt__95,cid__year,1.0,1
idx__626,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__627,tt__008-Times Hard (live),1,1.0
tt__008-Times Hard (live),cid__title,1.0,1
idx__627,tt__2m 32sec,1,1.0
tt__2m 32sec,cid__length,1.0,1
idx__627,tt__The Selecter,1,1.0
tt__The Selecter,cid__artist,1.0,1
idx__627,tt__Rare Versions  Vol. III (1995),1,1.0
tt__Rare Versions  Vol. III (1995),cid__album,1.0,1
idx__627,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__628,tt__Times Hard (live) - Rare Versions  Volume 3,1,1.0
tt__Times Hard (live) - Rare Versions  Volume 3,cid__title,1.0,1
idx__628,tt__.,1,1.0
tt__.,cid__length,1.0,1
idx__628,tt__Selecter,1,1.0
tt__Selecter,cid__artist,1.0,1
idx__628,tt__'95,1,1.0
tt__'95,cid__year,1.0,1
idx__628,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__629,tt__Billy Childish and the Blackhands - I Love Paris,1,1.0
tt__Billy Childish and the Blackhands - I Love Paris,cid__title,1.0,1
idx__629,tt__Play: Capt'n Calypso's Hoodoo Party,1,1.0
tt__Play: Capt'n Calypso's Hoodoo Party,cid__album,1.0,1
idx__629,tt__7,1,1.0
tt__7,cid__year,1.0,1
idx__629,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__630,tt__Scrapper Blackwell - Kokomo Blues,1,1.0
tt__Scrapper Blackwell - Kokomo Blues,cid__title,1.0,1
idx__630,tt__183,1,1.0
tt__183,cid__length,1.0,1
idx__630,tt__Blues in History II,1,1.0
tt__Blues in History II,cid__album,1.0,1
idx__630,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__631,tt__020-Mama kilio ee,1,1.0
tt__020-Mama kilio ee,cid__title,1.0,1
idx__631,tt__3m 53sec,1,1.0
tt__3m 53sec,cid__length,1.0,1
idx__631,tt__Mwenda Jean Bosco,1,1.0
tt__Mwenda Jean Bosco,cid__artist,1.0,1
idx__631,tt__Songs With Guitar (Shaba / Zaire) (1997),1,1.0
tt__Songs With Guitar (Shaba / Zaire) (1997),cid__album,1.0,1
idx__631,tt__Swa.,1,1.0
tt__Swa.,cid__language,1.0,1
idx__632,tt__Curtis Mayfield - We Got to Have Peace,1,1.0
tt__Curtis Mayfield - We Got to Have Peace,cid__title,1.0,1
idx__632,tt__286,1,1.0
tt__286,cid__length,1.0,1
idx__632,tt__The Definitive Collection,1,1.0
tt__The Definitive Collection,cid__album,1.0,1
idx__632,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__633,tt__We Got to Have Peace - TheDefinitive Collection,1,1.0
tt__We Got to Have Peace - TheDefinitive Collection,cid__title,1.0,1
idx__633,tt__4,1,1.0
tt__4,cid__length,1.0,1
idx__633,tt__Curtis Mayfield,1,1.0
tt__Curtis Mayfield,cid__artist,1.0,1
idx__633,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__634,tt__004-We Got to Have Peace,1,1.0
tt__004-We Got to Have Peace,cid__title,1.0,1
idx__634,tt__4m 46sec,1,1.0
tt__4m 46sec,cid__length,1.0,1
idx__634,tt__Curtis Mayfield,1,1.0
tt__Curtis Mayfield,cid__artist,1.0,1
idx__634,tt__The Definitive Collection (unknown),1,1.0
tt__The Definitive Collection (unknown),cid__album,1.0,1
idx__634,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__635,tt__We Got to Have Peace,1,1.0
tt__We Got to Have Peace,cid__title,1.0,1
idx__635,tt__286000,1,1.0
tt__286000,cid__length,1.0,1
idx__635,tt__Curtis Mayfiled,1,1.0
tt__Curtis Mayfiled,cid__artist,1.0,1
idx__635,tt__The Definitive Collection,1,1.0
tt__The Definitive Collection,cid__album,1.0,1
idx__635,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__636,tt__I want to change my life (Per Ardua Ad Astra),1,1.0
tt__I want to change my life (Per Ardua Ad Astra),cid__title,1.0,1
idx__636,tt__08:33,1,1.0
tt__08:33,cid__length,1.0,1
idx__636,tt__Arthur's Landing,1,1.0
tt__Arthur's Landing,cid__artist,1.0,1
idx__636,tt__Per Ardua Ad Astra,1,1.0
tt__Per Ardua Ad Astra,cid__album,1.0,1
idx__637,tt__Portishead - Glory Box,1,1.0
tt__Portishead - Glory Box,cid__title,1.0,1
idx__637,tt__2008-04-02: Tonhalle  München  Germany (CMC8 source),1,1.0
tt__2008-04-02: Tonhalle  München  Germany (CMC8 source),cid__album,1.0,1
idx__637,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__638,tt__Glory Box - 2008-04-02: Tonhalle  München  Germany (CMC8 source),1,1.0
tt__Glory Box - 2008-04-02: Tonhalle  München  Germany (CMC8 source),cid__title,1.0,1
idx__638,tt__Poortishead,1,1.0
tt__Poortishead,cid__artist,1.0,1
idx__638,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__639,tt__L'Ivresse des profondeurs - Fahrenheit Project  Part One,1,1.0
tt__L'Ivresse des profondeurs - Fahrenheit Project  Part One,cid__title,1.0,1
idx__639,tt__6,1,1.0
tt__6,cid__length,1.0,1
idx__639,tt__Jaïa,1,1.0
tt__Jaïa,cid__artist,1.0,1
idx__639,tt__'01,1,1.0
tt__'01,cid__year,1.0,1
idx__639,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__640,tt__002-L'Ivresse des profondeurs,1,1.0
tt__002-L'Ivresse des profondeurs,cid__title,1.0,1
idx__640,tt__6m 26sec,1,1.0
tt__6m 26sec,cid__length,1.0,1
idx__640,tt__Jaia,1,1.0
tt__Jaia,cid__artist,1.0,1
idx__640,tt__Fahrenheit Project  Part One (2001),1,1.0
tt__Fahrenheit Project  Part One (2001),cid__album,1.0,1
idx__640,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__641,tt__Confession (Always Around),1,1.0
tt__Confession (Always Around),cid__title,1.0,1
idx__641,tt__04:11,1,1.0
tt__04:11,cid__length,1.0,1
idx__641,tt__Jack Radics,1,1.0
tt__Jack Radics,cid__artist,1.0,1
idx__641,tt__Always Around,1,1.0
tt__Always Around,cid__album,1.0,1
idx__642,tt__Conefssion,1,1.0
tt__Conefssion,cid__title,1.0,1
idx__642,tt__251800,1,1.0
tt__251800,cid__length,1.0,1
idx__642,tt__Jack Radics,1,1.0
tt__Jack Radics,cid__artist,1.0,1
idx__642,tt__Always Around,1,1.0
tt__Always Around,cid__album,1.0,1
idx__642,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__643,tt__Jack Radics - Confession,1,1.0
tt__Jack Radics - Confession,cid__title,1.0,1
idx__643,tt__251,1,1.0
tt__251,cid__length,1.0,1
idx__643,tt__Always Around,1,1.0
tt__Always Around,cid__album,1.0,1
idx__643,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__644,tt__007-Confession,1,1.0
tt__007-Confession,cid__title,1.0,1
idx__644,tt__4m 11sec,1,1.0
tt__4m 11sec,cid__length,1.0,1
idx__644,tt__Jack Radics,1,1.0
tt__Jack Radics,cid__artist,1.0,1
idx__644,tt__Always Around (unknown),1,1.0
tt__Always Around (unknown),cid__album,1.0,1
idx__644,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__645,tt__Confession - Always Around,1,1.0
tt__Confession - Always Around,cid__title,1.0,1
idx__645,tt__4,1,1.0
tt__4,cid__length,1.0,1
idx__645,tt__Jack Radics,1,1.0
tt__Jack Radics,cid__artist,1.0,1
idx__645,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__646,tt__015-Boogie Oogie Oogie,1,1.0
tt__015-Boogie Oogie Oogie,cid__title,1.0,1
idx__646,tt__4m 5sec,1,1.0
tt__4m 5sec,cid__length,1.0,1
idx__646,tt__A Taste of Honey,1,1.0
tt__A Taste of Honey,cid__artist,1.0,1
idx__646,tt__'70s Preservation Society Presents: Disco Fever (1991),1,1.0
tt__'70s Preservation Society Presents: Disco Fever (1991),cid__album,1.0,1
idx__646,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__647,tt__007-For Us or Against Us,1,1.0
tt__007-For Us or Against Us,cid__title,1.0,1
idx__647,tt__5m 34sec,1,1.0
tt__5m 34sec,cid__length,1.0,1
idx__647,tt__Dying Fetus,1,1.0
tt__Dying Fetus,cid__artist,1.0,1
idx__647,tt__Destroy the Opposition (2000),1,1.0
tt__Destroy the Opposition (2000),cid__album,1.0,1
idx__647,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__648,tt__Prelude  op. 16 no. 4,1,1.0
tt__Prelude  op. 16 no. 4,cid__title,1.0,1
idx__648,tt__0m 51sec,1,1.0
tt__0m 51sec,cid__length,1.0,1
idx__648,tt__Alexander Scriabine,1,1.0
tt__Alexander Scriabine,cid__artist,1.0,1
idx__648,tt__Scriabine and the Scriabinians (unknown),1,1.0
tt__Scriabine and the Scriabinians (unknown),cid__album,1.0,1
idx__648,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__649,tt__Rock Me Mama - All the Classic its 1938-1952,1,1.0
tt__Rock Me Mama - All the Classic its 1938-1952,cid__title,1.0,1
idx__649,tt__2,1,1.0
tt__2,cid__length,1.0,1
idx__649,tt__Big Joe Turner,1,1.0
tt__Big Joe Turner,cid__artist,1.0,1
idx__649,tt__'03,1,1.0
tt__'03,cid__year,1.0,1
idx__649,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__650,tt__Rock Me Mama,1,1.0
tt__Rock Me Mama,cid__title,1.0,1
idx__650,tt__177733,1,1.0
tt__177733,cid__length,1.0,1
idx__650,tt__Big Joe Turner,1,1.0
tt__Big Joe Turner,cid__artist,1.0,1
idx__650,tt__All teh Classic Hits 1938-1952,1,1.0
tt__All teh Classic Hits 1938-1952,cid__album,1.0,1
idx__650,tt__1993,1,1.0
tt__1993,cid__year,1.0,1
idx__650,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__651,tt__Big Joe Turner - Rock Me Mama,1,1.0
tt__Big Joe Turner - Rock Me Mama,cid__title,1.0,1
idx__651,tt__177,1,1.0
tt__177,cid__length,1.0,1
idx__651,tt__All the Classic Hits 1938-1952,1,1.0
tt__All the Classic Hits 1938-1952,cid__album,1.0,1
idx__651,tt__3,1,1.0
tt__3,cid__year,1.0,1
idx__651,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__652,tt__015-Rock Me Mama,1,1.0
tt__015-Rock Me Mama,cid__title,1.0,1
idx__652,tt__2m 57sec,1,1.0
tt__2m 57sec,cid__length,1.0,1
idx__652,tt__BigJoeTurner,1,1.0
tt__BigJoeTurner,cid__artist,1.0,1
idx__652,tt__All the Classic Hits 1938-1952 (2003),1,1.0
tt__All the Classic Hits 1938-1952 (2003),cid__album,1.0,1
idx__652,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__653,tt__Rock Me Mama (All the Classic Hits 1938-1952),1,1.0
tt__Rock Me Mama (All the Classic Hits 1938-1952),cid__title,1.0,1
idx__653,tt__02:57,1,1.0
tt__02:57,cid__length,1.0,1
idx__653,tt__Big Joe Turner,1,1.0
tt__Big Joe Turner,cid__artist,1.0,1
idx__653,tt__All the Classic Hits 1938-1952,1,1.0
tt__All the Classic Hits 1938-1952,cid__album,1.0,1
idx__653,tt__2003,1,1.0
tt__2003,cid__year,1.0,1
idx__654,tt__Holy Shackles - Terrorizer: Fear Candy 36,1,1.0
tt__Holy Shackles - Terrorizer: Fear Candy 36,cid__title,1.0,1
idx__654,tt__3,1,1.0
tt__3,cid__length,1.0,1
idx__654,tt__Animosity,1,1.0
tt__Animosity,cid__artist,1.0,1
idx__654,tt__'06,1,1.0
tt__'06,cid__year,1.0,1
idx__654,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__655,tt__Racey - Some Girls,1,1.0
tt__Racey - Some Girls,cid__title,1.0,1
idx__655,tt__205,1,1.0
tt__205,cid__length,1.0,1
idx__655,tt__This Is... 1979,1,1.0
tt__This Is... 1979,cid__album,1.0,1
idx__655,tt__9,1,1.0
tt__9,cid__year,1.0,1
idx__655,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__656,tt__The Pietasters - Freak Show,1,1.0
tt__The Pietasters - Freak Show,cid__title,1.0,1
idx__656,tt__179,1,1.0
tt__179,cid__length,1.0,1
idx__656,tt__The Pietasters 1992-1996,1,1.0
tt__The Pietasters 1992-1996,cid__album,1.0,1
idx__656,tt__3,1,1.0
tt__3,cid__year,1.0,1
idx__656,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__657,tt__006-Inside the Outside,1,1.0
tt__006-Inside the Outside,cid__title,1.0,1
idx__657,tt__3m 22sec,1,1.0
tt__3m 22sec,cid__length,1.0,1
idx__657,tt__The Amboy Dukes,1,1.0
tt__The Amboy Dukes,cid__artist,1.0,1
idx__657,tt__Migration (1991),1,1.0
tt__Migration (1991),cid__album,1.0,1
idx__657,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
