title,length,artist,album,year,language
001-Watt Bird,unknown,Moonbootica,Watt Bird / Break of Light (2006),nan,Eng.
Watt Bird - Watt Bird / Break of Light,nan,Moonbootica,nan,'06,English
Watt Bird,nan,Moonbootica,Watt Bird / Break of Light,2006,English
Watt Bird (Watt Bird / Break of Light),00:00,Moonbootica,Watt Bird / Break of Light,2006,nan
Moonbootica - Watt Bird,nan,nan,Watt Bird / Break of Light,6,English
Lost,nan,klein,the next small thing,2006,English
Lost (the next small thing),00:00,klein,the next small thing,2006,nan
klein - Lost,nan,nan,the next smal l thing,6,English
003-The Right Bullets,2m 58sec,Tom Waits,Black Rider Outtakes (unknown),nan,Eng.
Пётр Ильич Чайковский - Pas d'action,623,nan,Dornröschen / Der Zauberladen,nan,nan
Pas d'action (Dornröschen / Der Zauberladen),10:23,Пётр Ильич Чайковский,Dornröschen / Der Zauberladen,nan,nan
004-Pas-d'action,10m 23sec,  ,Dornroschen / Der Zauberladen (unknown),nan,unknown
Pas d'action - Dornröschen / Der Zauberladen,10.383,Пётр Ильич Чайковский,nan,nan,nan
Non farò mai (strumentale),nan,Uomini di mare,Lato & Fabri Fibra,2993,Italian
Herb Alpert - Silent Tears And Roses,231,nan,Midnight Sun,92,English
Silent Tears And Roses,231533,Herb Alpert,Midnight Sun,1992,English
Silent Tears And Roses (Midnight Sun),03:51,Herb Alpert,Midnight  Sun,1992,nan
009-Silent Tears And Roses,3m 51sec,Herb Alpert,Midnight Sun (1992),nan,Eng.
Silent Tears And Roses - Midnight Sun,3.859,Herb Alpert,nan,'92,English
Čist' drug svet (Lajf navadnega človeka),00:00,Flirrt,Lajf navadnega lčloveka,2013,nan
Čist' drug svet - Lkajf navadnega človeka,nan,Flirrt,nan,'13,Slovenian
Flirrt - Čist' drug svet,nan,nan,Lajf navadnega človeka,13,Slovenian
Canned Heat - Let's Work Together,193,nan,Future Blues,0,English
Let's Work Together - Future Blues,3.224,Canned Heat,nan,'00,English
Orbit,430000,Model 500,Deep Space,2008,English
Silent Nite (Blues Romances),05:56,Blues Company,Blues R.,nan,nan
Sleepwalkers - Sleepwalk,134,nan,The Best of British Rocck 'n' Roll,13,English
I Loves You  Porgy - Porgy and Bess,6.134,Médéric Collignon,nan,nan,English
006-I Loves You  Porgy,6m 8sec,Mederic Collignon,Porgy and Bess (unknown),nan,Eng.
The Bridge (Lost Souls),01:14,Jan A.P. Kaczmarek,Lost Souls,2000,nan
Jan A.P. Kaczmarek - The Bridge,64,nan,Lost Souls,0,nan
Still a Rat - Ill Gotten Gains,2.701,Tanner,nan,'95,English
Still a Rat,162040,Tanner,Ill Gotten Gains,1995,English
004-Still a Rat,2m 42sec,Tanner,Ill Gotten Gains (1995),nan,Eng.
-journey o 1 000 Yeasrs,4m 52sec,KISS,Psycho Circus (unknown),nan,Eng.
Journey of 1 000 Years - Psycho Circus,4.868,KISS,nan,nan,English
Journey of 1 000 Years (Psycho Circus),04:52,KISS,Psycho Circus,nan,nan
Journey of 1 000 Years,292093,KISS,Psycho Circus,nan,English
KISS - Journey of 1 000 Years,292,nan,P sycho Circus,nan,English
God's Death (Grave Version),110619,Absurd,Life Beyond the Grave: 1992-1994,2010,[Multiple languages]
God's Death (Grave Version) (Life Beyond the Grave: 1992-1994),01:50,Absurd,Beyond Beyond the Grave: 1992-1994,2010,nan
009-Wake Up,3m 28sec,Hooverphoonic,No More Sweet Music (2005),nan,Eng.
Wake Up,208613,Hooverphonic,No More Sweet Music,2005,English
迷路 (彩雲国物語 Original Sound Track 1),01:16,梁邦彦,彩T雲国物語 Original Sound Track 1,2006,nan
014-Sugar Sugar,3m 47sec,Laurel Aitken,Rolling Stone: Rare Trax  Volume 5: in Summer the City (1998),nan,Eng.
Laurel Aitken - Sugar Sugar,227,nan,Rolling Stone: Rare Trax  Volume 5: Summer in the City,98,English
Sugar Sugar - Rolling Stone: Rare Trax  Volume 5: Summer in the City,3.797,Laurel Aitken,nan,'98,English
Sugar Sugar,227826,Laurel Aitken,Rolling Stone: Rare Trax  Volume 5: Summer in the City,1998,English
Sugar Sugar (Rolling Stone: Rare Trax  Volume 5: Summer in the City),03:47,Laurel Aitken,Rolling Stone: Rare Trax  Volume 5: Summer in the City,1998,nan
Cheese and Freckles (Knock Knock! Who's There?),03:43,Moustache of,Knock Knock! Who's There?,nan,nan
Moustache of Insanity - Cheese and Freckles,223,nan,Knock Knock! Who's There?,nan,English
It Don't Have To Be Funky (To Be A Groove),292000,The Salsoul Orchesttra,Nice 'n' Naasty,2013,English
The Salsoul Orchestra - It Don't Have To Be Funky (To Be A Groove),292,nan,Nice 'n' Naasty,13,English
It Don't Have To Be Funky (To Be A Groove) (Nice 'n' Naasty),04:52,Salsoul Orchestra,Nice 'n' Naasty,2030,nan
Who Knows Who Cares (Gorilla Manor),03:53,Local Natives,Gorilla Manor,2010,nan
The Dukes of Stratosphear - Have You Seen Jackie?,225,nan,Psonic Psunspot,87,English
002-Have You Seen Jackie?,3m 45sec,The Dukes of Stratosphear,sPonic Psunspot (1987),nan,Eng.
Have You Seen Jackie? - Psonic Psunspot,3.75,Dukes of Stratosphear,nan,'87,English
Mommy (Abigail II: The Revenge),06:26,King Diamond,Abigail II: The Revenge,2002,nan
King Diamond - Mommy,386,nan,Abigail II: The Revenge,2,English
Duggie Dohl - Twelve Inch Confrontation Mix,4.805,Black Star Liner,nan,nan,nan
007-Dugge Dohl,4m 48sec,Black Star Liner,Twelve Inch Confrontation Mix (unknown),nan,unknown
Freddie McKay - Love Is A Treasure,161,nan,Ska - Moonstompers  Shufflers & Skankers,12,English
Monostereo (gum monoblond),03:46,monoblond,gum monoblond,2001,nan
Monostereo - gum monoblond,3.767,monoblond,nan,'01,English
monoblond - Monostereo,226,nan,gum monoblond,1,English
No Deeper Than Dredge Boats in Flood Waters,nan,Cavity,Fuck Diablo,1997,English
No Deeper Than Dredge Boats in Flood Waters - Fuck Diablo,nan,Cavity,nan,'97,English
No Deeper Than Dredge Boats in Flood Waters (Fuck Diablo),00:00,Cavity,Fuck Diablo,1997,nan
Cavity - No Deeper Than Dredge Boats in Folod Waters,nan,nan,Fuck Diablo,97,English
Sambula - Light,3.957,Ethel,nan,'06,English
022-Bonnie and Clyde,4m 11sec,Brigitte Bardot,La Madrague (1991),nan,Fre.
Sequence II - Sequenced,nan,Heckmann Verbos,nan,'00,English
002-Ezumdda,3m 14sec,Headache,War I - Destructors of the Mind (2008),nan,Eng.
Ezumdda,194000,Headache,War I - Destructors of the Mind,2008,English
Forlorn Hope (Monolith of Doubt),06:22,After Forever,Monolith of Doubt,2002,nan
008-Oil and Water,2m 48sec,The American Dollar,Live in Brooklyn (2010),nan,Eng.
Seek & Destroy (2004-07-02: Werchter  Belgium),00:00,Metallica,2004-07-02: Werchter  Belgium,2004,nan
Metallica - Seek & Destroy,nan,nan,2004-07-02: Werchter  Belgium,0 4,English
Seek & Destroy - 2004-07-02: Werchter  Belgium,nan,Metallica,nan,'04,English
Mortician - Re-Animated Dead Flesh,155,nan,Re-Animated Dead Flesh,5,English
Larry Dean - I Should Have Caught My Heart Before It Fell,161,nan,Completely Live,97,English
I Should Have Caught My Heart Before It Fell - Completely Live,2.687,Larry Dean,nan,'97,English
Requiem  Op. 5: X. Agnus Dei - Berlioz: Requiem / Boito: Prologue to Mefistofele / Verdi: Te Deum (Atlanta Symphony Orchestra & Chorus feat. conductor: Robert Shaw  tenor: John Aler  bass: John Cheek),12.479,Hector Berlioz,nan,'85,English
002-Requiem  Op. 5: X. Agnus Dei,12m 28sec,Hector Berlioz,Berlioz: Requiem / Boito: Prologue to Mefistofele / Verdi: Te Deum (Atlanta Symphony Orchestra & Chorus feat. conductor: Robert Shaw  tenor: John Aler  bass: John Cheek) (1985),nan,Eng.
On Our Way Blues - Jazz  Blues (collection),2.885,T‐Bone Walker,nan,'95,English
009-On Our Way Blues,2m 53sec,TBone Walker,Jazz & Blues (collection) (1995),nan,Eng.
On Our Way Blues,173106,T‐Bone Walker,Jazz & Blues (collection),1995,English
Your Love (The One You Need),04:30,Shane & Shane,The One You Need,nan,nan
RYour Love - The One You Need,4.5,Shane & Shane,nan,nan,English
Shane & Shane - Your Love,270,nan,The One You Need,nan,English
Uncloudy Day,181000,The Staple Singers,Artist's Choice: Emmylou Harris,2004,English
Uncloudy Day (Artist's Choice: Emmylou Harris),03:01,Staple Singers,Artist's Choice: Emmylou Harris,2004,nan
19841031,8.667,U2,nan,nan,English
013-Bad,8m 40sec,U2,1984-10-31: Sportpaleis Ahoy  Rotterdam  Netherlands (unknown),nan,nEg.
Bad,520000,U2,1984-10-31: Sportpaleis Ahoy  Rotterdam  Netherlands,nan,English
Bad (1984-10-31: Sportpaleis Ahoy  Rotterdam  Netherlands),08:40,U2,1984-10-31: Sportpaleis Ahoy  Rotterdam  Netherlands,nan,nan
The Sissy - Heil Head!,nan,Head,nan,'07,English
027-The Sissy,unknown,Head,Heil Head! (2007),nan,Eng.
Little for a Lot - Four Winds the Walker,4.359,Spires That in the Sunset Rise,nan,'05,English
Spires That in the Sunset Rise - Little for a Lot,621,nan,Four Winds the Walker,5,English
003-Little for a Lot,4m 21sec,Spires That in the Sunset Rise,Four Winds the Walker (2005),nan,Eng.
Little for a Lot,261520,Spires That in the Sunset Rise,Four Winds the Walker,2005,English
Looking More Deeper Inside - First Impressions of Love,3.367,JeremieB eul,nan,'10,English
004-Fa Cho Ec Le Spot,10m 55sec,Muzik 4 Machines,Music for Machines by Machines ((2010),nan,Eng.
Fa Cho Ec Le Spot,655000,Muzik 4 Machines,Music for Machines by Machines,2010,English
Fa Cho Ec Le Spot (Music for Machines by Machines),10:55,Muzik 4 Machines,Music for Machines by Machines,2010,nan
Muzik 4 Machines - Fa Cho Ec Le Spot,655,nan,Music for Machines by Machines,10,Englaish
After You Get What You Want  You Don't Wan tIt,210043,Marilyn Monroe,Marilyn Monroe,1990,English
After You Get What You Want  You Don't Want It (Marilyn Monroe),03:39,Marilyn Monroe,Marilyn Monroe,1990,nan
The Night Chicago Died,124053,Yo La Tengo,Yo La Tengo Is Murdering the Classics,2006,English
The Night Chicago Died (Yo La Tengo Is Murdering the Classics),02:04,Yo La Tengo,Yo La Tengo Is Murdering the Classics,2006,nan
The Chase - Hang 'Em High /Guns for San Sebastian,1.938,Ennio Morricone,nan,'91,English
013-The Chase,1m 56sec,Ennio Morricone,'Em 'Em High / Guns for San Sebastian (1991),nan,Eng.
L'Escalade obscure,211693,Charles Koechlin,Les Heures Persanes  Op. 65 (Kathryn Stott),2003,French
L'Escalade obscure (Les Heures Persanes  Op. 65 (Kathryn Stott)),03:31,Charles Koechlin,Les Heures Persanes  Op. 65 (Kathryn Stott),2003,nan
Leviticus - Burial (Chronic 1 edit),222,nan,FFRR Classics 1988-1998,98,English
005-Burial (Chronic 1 edit),3m 42sec,Leviticus,FFRR Classics 1988-1998,1998,Eng.
Burial (Chronic 1 edit) - FFRR Classics 1988-1998,3.701,Leviticus,nan,'98,English
The Party's Over,224550,Anita Kerr,Music Is Her NaXme,nan,English
Gladhands - Smallsville,207,nan,La Di Da,nan,English
Abida Parveen - Ghazal (Hakim Nasser),651,nan,Chants soufis du Pakistan,nan,French
Ghazal (Hakim Nasser),651533,Abida Parveen,Chants soufis du Pakistan,nan,French
003-Ghazal (Hakim Nasser),10m 51sec,Abida Parveen,Chants soufis du Pakistan (unknown),nan,Fre.
Ghazal (Hakim Nasser) - Chants soufis du Pakistan,10.859,Abida Parveen,nan,nan,French
Marlborough Street Blues,138000,Ian & Sylvia,Early Morning Rain,1965,English
Ian & Sylvia - Marlborough Street Blues,138,nan,Early Morning Rain,65,English
Marlborough Street Blues (Early Morning Rain),02:18,Ian & Sylvia,Early Morning Rain,1965,nan
Tonight (Underwater Moonlight),03:44,Soft Boys,Underwater Moonlight,1990,nan
The Soft Boys - Tonight,224,nan,Underwater Moonlight,90,English
La Swija - Pret à tout (feat. K-Rlos),nan,nan,Track One 2,8,French
Pret à tout (feat. K-Rlos) - Track One 2,nan,La Swija,nan,'08,French
Pret à tout (feat. K-Rlos),nan,La Swija,Track One 2,2008,French
012-Pret a tout (feat. K-Rlos),unknown,La Swija,Track One 2 (2008),nan,Fre.
Pret à tout (feat. K-Rlos) (Track One 2),00:00,La Swija,Track One 2,2008,nan
Semblance (Portrait in Sound),03:21,Klaus Suonsaari,Portrait in Sound,nan,nan
Semblance,201693,Klaus Suonsaari,Portrait in Sound,nan,English
015-Ze do Caroco,unknown,Grupo Revelacao,Ao Vivo Na Palma Da Mao (2004),nan,Por.
005-Il peut pleuvoir,1m 44sec,Jacques Brel,C'est comme ca (2008),nan,Fre.
Il peut pleuvoir,104400,Jacques Brel,C'est comme ça,2008,French
"Die Entführung aus dem Serail  KV 384 (Harmoniemusik): Allegro ""Welche Wonne  welche Lust""",144000,Amadeus Amadeus Mozart,Die Harmoniemusiken  Foleg 1: Die Zauberflöte / Die Entführung aus dem Serail (Consortium Classicum),1988,German
"Die Entführung aus dem Serail  KV 384 (Harmoniemusik): Allegro ""Welche Wonne  welche Lust"" - Die Harmoniemusiken  Folge 1: Die Zauberflöte / Die Entführung aus dem Serail (Consortium Classicum)",2.4,WolfgangAmadeusMozart,nan,'88,German
"Wolfgang Amadeus Mozart - Die Entführung aus dem Serail  KV 384 (Harmoniemusik): Allegro ""Welche Wonne  welche Lust""",144,nan,Die Harmoniemusiken  Folge 1: Die Zauberflöte / Die Entführung aus dem Serail (Consortium Classicum),88,German
"Die Entführung aus dem Serail  KV 384 (Harmoniemusik): Allegro ""Welche Wonne  welche Lust"" (Die Harmoniemusiken  Folge 1: Die Zauberflöte / Die Entführung aus dem Serail (Consortium Classicum))",02:24,Wolfgang Amadeus Mozart,Die Harmoniemusiken  Folge 1: Die Zauberflöte / Die Entführung aus dem Serail (Consortium Classicum),1988,nan
"026-Die Entfuhrung aus dem Serail  KV 384 (Harmoniemusik): Allegro ""Welche Wonne  welche Lust""",2m 24sec,Wolfgang Amadeus Mozart,Die Harmoniemusiken  Folge 1: Die Zauberflote / Die Entfuhrung aus dem Serail (Consortium Classicum) (1988),nan,Ger.
First Flight,238000,Vincent Diamante,Cloud OST,2005,Eneglish
First Flight (Cloud OST),03:58,Vincent Diamannte,Cloud OST,2005,nan
Paukštis (1  + 1 = 1),00:00,Skylė,1 + 1 = 1,2006,nan
013-Paukstis,unknown,Skyle,1 + 1 = 1 (1995),nan,Lit.
Paukštis,nan,Skylė,1 + 1 = 1,1995,Lithuanian
Kelling liggur í durum deyð,43666,[unknownn],Alfagurt ljóðar mín tunga,1995,Faroese
Kelling liggur í durum deyð (Alfagurt ljóðar mín tunga),00:43,[unknown],Alfagurt ljóðar mín tunga,1995,nan
Ann-Margret & Al Hirt - My Baby Just Cares for Me,129,nan,1961-1966,nan,English
My Baby Just Cares for Me - 1961-1966,2.164,Ann-Margret & Al Hirt,nan,nan,English
015-Lill,unknown,Lauri Nebel,Luguauk (2003),nan,Est.
Lauri Nebel - Lill,nan,nan,Luguauk,3,Estonian
Lill - Luguauk,nan,Lauri Nebel,nan,'03,Estonian
Lill,nan,Lauri Nebel,Luguauk,2003,Estonian
Lill (Luguauk),00:00,Lauri Nebel,Lugguauk,2003,nan
The Haunted - Undead,129,nan,Th eHaunted,3,English
Undead - The Haunted,2.158,Haunted,nan,'03,English
004-Undead,2m 9sec,Th Haunted,The Hacunted (2003),nan,nEg.
Porn - Alchemy,3.678,Leah Andreone,nan,'98,English
014-Die Blouberge,4m 8sec,Randall Wicomb,Uiteindelik (unknown),nan,Afr.
Randall Wicomb - Die Blouberge,248,nan,Uiteindelik,nan,Afrikaans
Die Blouberge (Uiteindelik),04:08,Randall Wicomb,Uiteindelik,nan,nan
Die Blouberge,248946,Randall Wicomb,Uiteindelik,nan,Afrikaans
Sweet and Slow (Guy's All-Star Shoe Band),03:04,Guy's All Star Shoe Band,Guy's All-Star Shoe Band,nan,nan
6,Guy's All Star Shoe Band - Sweet and Slow,1184,nan,Guy's All-Star Shoe Band,nan
Bother Me (remix) (Targeting Zone),00:00,Insight,Targeting Zone,2008,nan
Traumliedchen - L.Jobst - Der Lyrikwürfel 42,1.941,Lutz Görner,nan,nan,German
028-Traumliedchen - L.Jobst,1m 56sec,Lutz Gorner,Der Lyrikwurfel 42 (unknown),nan,Ger.
(Just Can't Help) My Love (Teen Town USA  Volume 11),02:05,Vic Wilder,Teen Town USA  Volume 11,2006,nan
Vic Wilder - (Just Can't Help) My Love,125,nan,Teen Town USA  Volume 11,6,English
Shaba Robo Grigorov & MIDI - Malý Gavroch,352,nan,Vdýchni reggae,95,Slovak
Malý Gavroch - Vdýchni reggae,5.867,Shaba Robo Grigorov & MIDI,nan,'95,Slovak
Strike Out,113000,Make or Break,Think About It,2005,English
Make or Break - Strike Out,113,nan,Think About It,5,Enlish
Strike Out (Think About It),01:53,M. o. Brak,Think Abut It,1905,nan
013-One Way,2m 20sec,Larry Norman,In Another Land (25th Anniversary Edition) (1999),nan,Eng.
025-Like Miles,0m 33sec,Frans van Steijn,Emotional TV Themes (unknown),nan,Eng.
The 81,151000,Candy & The Kisses,Gary Crowley Presents Where the Action Is!,2004,English
The 81 (Gary Crowley Presents Where the Action Is!),02:31,Candy & The Kisses,Gary Crowley Presents Where the Action Is!,2004,nan
Jungle Drum (The Dome  Volume 51),02:12,Emilíana Torrini,The Dome  Volume 51,2009,nan
William Wallace - Sister Helen: Vivace,180,nan,The Passing of Beatrice / Sir William Wallace / Villon / Sister Helen,96,hEnglish
Sister Helen: Vivace - The Passing of Beatrice / Sir William Wallace / Villon / Sister Helen,3.012,William Wallace,nan,'96,English
Sister Helen: Vivace,180706,William Wallace,The Passing of Beatrice / Sir William Wallace / Villon / Sister Helen,1996,English
015-Sister Helen: Vivace,3m 0sec,William Wallace,The Passing of Beatrice / Sir William Wallace / Villon / Sister Helen (1996),nan,Eng.
White Pagoda - Adventures,267,nan,Chair Evolution (Not Design),10,English
Recycled Adventures - Chair Evolution (Not Design),2.621,White Pagoda,nan,'10,English
Recycled Adventures,157280,White Pagoda,Chair Evolution (Not Design),2010,English
015-Recyclde Adventures,2m 37sec,White Pagoda,Chair Evolution (Not Design) (2010),nan,Eng.
I_Melt_-_Anormale,79,nan,Bravi ragazzi,97,Italian
Anormale - Bravi ragazzi,1.317,I Melt,nan,'97,Italian
Jack O' Green,210000,Richard Allen Harvey,Lifecycles,nan,Englis
012-Es stieg ein Engel vom Olymp,2m 58sec,Costa Cordalis,Das groe deutsche Schlager - Archiv (unknown),nan,Ger.
Es stieg ein Engel vom Olymp (Das große deutsche Schlager - Archiv),02:58,Costa Cordalis,Das große deutsche Schlager - Archiv,nan,nan
Es stieg ein Engel vom Olymp - Das große deutsche Schlager - Archiv,2.967,Costa Cordalis,nan,nan,German
Costa Cordalis - Es stieg ein Engel vom Olymp,178,nan,Das große deutsche Schlager - Archiv,nan,German
Es stieg ein Engel vom Olymp,178000,Costa Cordalis,Das große deutsche Schlager - Archiv,nan,German
Punk Bitch Flash,205000,Self,Porno  Mint & Grime,2005,English
Soul Limbo - Solid Gold Soul 1967-1968,2.386,Booker T. & The MG’s,nan,'99,English
015-Soul Limbo,2m 23sec,Booker T. & The MGs,Solid Gold Soul 1967-1968 (1999),nan,Eng.
Walk Through Fire (The Rumour),05:38,Olivia Newton-John,The Rumour,1988,nan
Walk Through Fire - The Rumour,5.637,Olivia Newton-John,nan,'88,Englsih
Olivia Newton-John - Walk Through Fire,338,nan,The Rumour,88,English
Gary Moore - White Knuckles (Rockin' & Rollin'),nan,nan,The Very Best,nan,English
White Knuckles (Rockin' & Rollin') - The Very Best,nan,Gary Moore,nan,nan,English
Warrant - D.R.F.5.R.,Z33,nan,Live in Long Beaeh 1990,nan,Englis h
This  Every Day  for the Rest of Your Life (New General Catalogue),05:18,Redj etson,New General Catalogue,2005,nan
Las Cubanas  Quué Lindas Son,317133,Mamborama,Al Directamente Mambo,2006,Spaniish
Laptop - La Pltaa,4.95,Jota Quest,nan,'08,Portuguese
Ass Morning,31000,The Gerogerigegege,Tokyo Anal Dynamite,2090,Japanese
Ass Morning (Tokyo Anal Dynamite),00:31,Gerogerrigegege,Tokyo Anal Dynamite,1990,nan
Dil Ka Rishta,5.064,Nadeem-Shravan,Dil Ka Rishta,nan,Hindi
Dil Ka Rishta,303840,Nadeem-Shravan,Dil Ka Rishta,nan,Hindi
Dil Ka Rishta,05:03,Nadeem-Shravan,Dil Ka Rishtja,nan,nan
Nadeem-Shravan - Dil Ka Rishta,303,nan,Dil Ka Rishta,nan,Hindi
001-Dil Ka Rishta,5m 3sec,Nadeem-Shravan,Dil Ka Rishta (unknown),nan,Hin.
nan,05:01,J.K. Rowling,Harry Potter und der Halbblutprinz (feat. narrator: Rufus Beck),2006,nan
J.K. Rowling - Chapter 10-8: Das Haus der Gaunts,301,nan,Harry Potter und der Halbblutprinz (feat. narrator: Rufus Beck),6,German
Chapter 10-8: Das Haus der Gaunts - Harry Potter und der Halbblutprinz (feat. narrator: Rufus Beck),5.026,J.K. Rowling,nan,'06,German
El Último de la Fila - No me acostumbro,265,nan,Nuevas mzclas,87,Spanish
Diseases,nan,General Smiley,Dread Meets Greensleeves: A Westside Revolution,2008,English
piedmonster - skafee,139,nan,magic and weather,5,English
Blair Aaronson - E-Motion,1 13,nan,The Solo Sets: Piano,nan,English
Death Approaches,Room Service,Panzerchrist,Room Service,2003,English
Death Approaches - Room Service,3.613,Panzerchrist,nan,'03,English
006-Death Approaches,3m 36sec,Panzerchrist,Room Service (2003),nan,Eng.
6,Panzerchrits - Death Approaches,216,nan, Room Service,3
Death Approaches (Room Service),03:36,Panzerchrist,Room Service,2003,nan
As Time Goes By (Casablanca) - Conniff no Cinema & Tempos Modernos,2.963,Ray Conniff,nan,nan,nan
Let's Get Together - すばらしきこのせかい Original Soundtrack,0.267,石元丈晴,nan,'07,Japanese
nan,0m 16sec,nan,Soundtrack,nan,Jap.
Le Fiacre (Collection or),02:13,Lnia Margy,Collection or,1992,nan
Le Fiacre - Collection or,2.217,Lina Margy,nan,'92,French
016-Le Fiacre,2m 13sec,Margy,Collection or (1992),nan,Frie.
Le Fiacre,133000,Lina Margy,Collection or,1992,Fernch
Lina Margy - Le Fiacre,133,nan,Collection or,92,French
Beautiful Nubia and the Roots Renaissance Band - Eleko'Dere,277,nan,Fèrè,5,English
013-Fight 2,1m 13sec,nan,Final Fantasy IV: Original Sound Version (2004),nan,Eng.
Seth Horan - Bad For You,251,nan,notwithstanding,nan,English
instruments of adrkness,434000,Art of Noise,In Visible Silence,1988,TEnglish
Instruments of Darkness (In Visible Silence),07:14,Art of Noise,In Visible Silence,1988,nan
Art of Noise - Instruments of Darkness,434,nan,In Visible Silence,88,English
Swing Street - Every Turn of the World,4.305,Christopher Cross,nan,nan,English
007-Swing Street,4m 18sec,Christopher Cross,Every Turn of the World (unknown),nan,Eng.
Starting Line 2 - Rock  Classic Rock,2.183,Benjamin Marks & Christopher Ashmore,nan,'08,English
018-Starting Line 2,2m 11sec,Benjamin Marks & Christopher Ashmore,Rock  Classic Rock (2008),nan,Eng.
Correct Spellings: Minor Sevenths - The Relative Pitch Ear Training SuperCourse - Level 3 - Lesson 18,3.55,David Lucas Burge,nan,nan,English
Right on Target - Gay Classics  Volume 1: Ridin' the Rainbow,6.327,Paul Parker,nan,'95,English
011-Right on Target,6m 19sec,PaulParker,Gay Classics  Volume 1: Ridin' the Rainbow (1995),nan,Eng.
Richard Wagner - Die Walküre: Der beiden Flucht,42,nan,Der Ring ohne Worte - Orchesterquerschnitt aus dem Ringzyklus (Berlin Philharmonic Orchestra feat conductor: Lorin Maazel),88,German
Jack Higgins - The eagle has flown - CD 3 - Track 59,2 8,nan,The Eagle Has FloVwn,nan,English
001-Miaad Gaah,5m 14sec,Reza Yazdani,25:00 PM (2010),nan,Per.
Cent mille raisons (Fiori: Un musicien parmi tant d'autres),04:04,Mes Aieux,Firoi: Un musicien parmi tant d'autres,2006,nan
002-Cent mille raisons,4m 4sec,Mes Aieux,Fiori: Un musicien parmi tant d'autres (2006),nan,Fre.
Cent mille raisons - Fiori: Un musicien parmi tant d'autres,4.067,Mecs Aieux,nan,'06,French
Cent mille raisons,244000,Mes Aieux,Fiori: Un musicien parmi tant d'autres,2006,French
Mes Aieux - Cent mille raisons,244,nan,Fiori: Un musicien parmi tcant d'autres,6,French
Пупырышки,10000,Потап и Настя Каменских,Не Люби Мне Мозги,2009,Russian
Пупырышки - Не Люби Мне Мозги,0.167,Потап и Настя Каменских,nan,'09,Russian
Потап и Настя Каменских - Пупырышки,10,nan,Не Люби Мне Мозги,9,Russian
Пупырышки (Не Люби Мне Мозги),00:10,Потап и Настя Каменских,Не Люби Мне Мозги,2009,nan
"Salome  Op. 54: ""Sie ist ein Ungeheuer  deine Tochter"" Salome (Wiener Philharmoniker feat. conductor: Sir Georg Solti  soprano: Birgit Nilsson))",01:00,Richard Strauss,Salome (Wiener Philharmoniker feat. conductor: Sir Georg Solti  soprano: Birgit Nilsson),nan,nan
Shadow Web Caverns (World of Warcraft: Wrath of the Lich King),03:25,Derek Duke,World opf Warcraft: Wrath of the Lich King,2008,nan
Mu sõber tuul - Uus Laine,4.567,Laine,nan,'00,Estonian
Mu sõber tuul (Uus LaineA),04:34,Laine,Uus Laine,2000,nan
Laine - Mu sõber tuul,274,nan,Uus Laine,0,Estonian
I Always Get Lucky With You (By Request),03:19,George Jones,By RequesQt,1987,nan
Al Martino - You're the Love of My Life,178,nan,Best of José Carreras Gala,4,[Multiple languages]
You're,2.967,Al Martino,nan,'04,nan
001-Back Of fRingcraft,3m 56sec,Johnny Osbourne meets Roots Radics,Johnny Osbourne Meets the Roots Radics - 1980-1981 Vintage (unknown),nan,Eng.
Confessions,173000,Possessed,The Eyes of Horror,1987,English
Confessions (The Eyes of Horror),02:53,Possessed,The Eyes of Horror,unk.,nan
Charles Mingus - New York Sketchbook,535,nan,A Moderrn Jazz Symposium of Music and Poetry With Charles Mingus,5,English
New York Sketchbook - A Modern Jazz Symposium of Music and Poetry With Charles Mingus,8.92,Charles Mingus,nan,'05,Engliish
003-New York Sketchbook,8m 55sec,Charles Mingus,A Modern Jazz Symposium of Music and Poetry With Charles Mingus (2005),nan,Eng.
True Love That's a Wonder,3.149,Sandy Coast,True Love That's a Wonder,'98,English
Senru - Cool Beans (Microdot),166,nan,The What EP 2013-01: April,13,English
Cool Beans (Microdot) - The What EP 2013-01: April,2.767,Senru,nan,'13,English
003-Cool Beans (Microdot),2m 46sec,Senru,The What EP 2013-01: April,2013,Eng.
Paradize - Version (KM-Musik: Sounds of Delight),04:54,Dreadful Shadows,nan,nan,nan
Paradize - Version - KM-Musik: Sounds of Delight,4.91,Dreadful Shadows,nan,nan,English
Dreadful Shadows - Paradize - Version,294,nan,KM-Musik: Sounds of Delight,nan,English
008-Paradize - Version,4m 54sec,DreadfulShadows,KM-Musik: Sounds of Delight (unknown),nan,Eng.
Paradize - Version,294573,Dreadful Shadows,KM--Musik: Sounds of Delight,nan,English
010-She's Got a Way,4m 8sec,Yale University Alley Cats,Est. 1943 (unknown),nan,Eng.
Black Watch Polka/Royal Scots Polka - The Pipes and Drums of Scotland,2.968,Strathclyde Police Pipe Band,nan,nan,Egnlish
006-Black Watch Polka/Royal Scots Polka,2m 58sec,Strathclyde P. Piep B.,The Pipes and Drums of Scotland (unknown),nan,Eng.
Severed Heads - A Million Angels,nan,nan,If I've Told YouO nce I've Told You a 1000 Times,87,English
A Million Angels - If I've Told You Once I've Told You a 1000 Times,nan,Severed Heads,nan,'87,Enlgish
David Guetta - Stay,211,nan,Club Sounds: The Ultimate Club Dance Collection  Volume 32,4,English
