TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
2840,280,3,3,2051514MB-01,12,Think - Disco de apoyo a Thomas Miller-El,3.933,Hechos contra el decoro,,'02,Spanish
8381,280,4,4,66457-A056,12,012-Think,3m 55sec,Hechos contra el decoro,Disco de apoyo a Thomas Miller-El (2002),,Spa.
16073,280,2,2,MBox12752620-HH,12,Hechos contra el decoro - Think,235,,Disco de apoyo a Thomas Miller-El,2,Spanish
519,281,1,4,20401-A057,13,013-When Granddpa Comes,2m 33sec,Slender,The Singles Ward (2002),,Eng.
1984,281,4,2,MBox3914831-HH,13,Slender - When Grandpa Comes,153,,The Singles Ward,2,English
3726,281,5,3,629788MB-01,13,When Grandpa Comes - The Singles Ward,2.555,Slender,,'02,English
7573,281,2,5,1448495,13,When Grandpa Comes,153306,Slender,The Singles Ward,2020,E nglish
17317,281,3,1,WoM2897011,13,When Grandpa Comes (The Singles Ward),02:33,Slender,The Singles Ward,2002,
379,282,2,3,57882222MB-01,2,Almost Like Being in Love - The Chronological Classics: Charlie Parker 1952-1954,2.633,Charlie Parker,,,English
521,282,1,2,MBox3598090-HH,2,Charlie Parker - Almost Like Being in Love,158,,The Chronological Classics: Charlie Parker 1952-1954,,English
525,283,1,3,50237021MB-01,8,"Livery Stable Blues - Jazz Greats, Volume 47: Muggsy Spanier: That Da Da Strain",3.055,Muggsy Spanier and His Ragtime Band,,'98,English
13930,283,2,4,162740-A017,8,008-Livery Stable Blues,3m 3sec,Muggsy Spanier and His Ragtime Band,"Jazz Greats, Volume 47: Muggsy Spanier: That Da Da Strain (1998)",,Eng.
529,284,1,3,19081212MB-01,8,Piano Quintet in C minor: I. Andante (Prazák Quartet feat. piano: Jaromír Klepác) - String Quartet No. 2 / Cello Sonata / Piano Quintet (Prazák Quartet feat. piano: Jaromír Klepác),5.196,Александр Порфирьевич Бородин,,'99,English
1014,284,2,4,61812-A062,8,008-Piano Quintet in C minor: I. Andante (Prazak Quartet feat. piano: Jaromir Klepac),5m 11sec,  ,String Quartet No. 2 / Cello Sonata / Piano Quintet (Prazak Quartet feat. piano: Jaromir Klepac) (1999),,Eng.
546,290,1,4,193068-A051,12,012-Margarita Gauthier (feat. Raul Raul,2m 28sec,Miguel Calo,Las Estrellas: 1941-1944 (unknown),,Spa.
3339,290,3,1,WoM27415712,12,Margarita Gauthier (feat. Raúl Berón) (Las Estrellas: 1941-1944),02:28,Miguel Caló,,,
11406,290,2,5,13707846,12,Margarita Gauthier (feat. Raúl Berón),108400,Miguel Caló,Las Estrellas: 1941-1944,,Sanish
550,293,1,1,WoM16850749,25,Take Care (demo) (Keep an Eye on the Sky),01:36,ig Star,Keep an Eye on the Sky,2009,
1794,293,3,3,3663217MB-01,25,Take Care (demo) - Keep an Eye on the Sky,1.6,Big Star,,'09,English
15803,293,2,2,MBox22771314-HH,25,Big Star - Take Care (demo),96,,Keep an Eye on the Sky,9,English
553,294,1,1,WoM9896720,2,God Only Knows (Classic Campbell),03:18,Glen Campbell,Classic Campbell,2006,
13519,294,2,2,MBox13373923-HH,2,Glen Campbell - God Only Knows,198,,Classic Campbell,6,English
558,296,1,1,WoM9980929,14,In Memoriam Mallorca Hitmix: Ibiza / Süßes Blut / Alter Schwede / Ratzfatz nach Mallorca (Fetenkult: StrandParty 2006),05:43,Ibo,Fetenkult: StrandParty 2006,2006,
15125,296,2,2,MBox13487726-HH,14,Ibo - In Memoriam Mallorca Hitmix: Ibiza / Süßes Blut / Alter Schwede / Ratzfatz nach Mallorca,343,,Fetenkult: Strandparty 2006,6,Germman
493,297,3,3,50012819MB-01,7,Saints & Sinners - Speed of Darkness,3.524,Flogging Molly,,'11,English
560,297,1,1,W oM23005922,7,Saints & Sinners (Speed of Darkness),03:31,Flogging Molly,Speed of Darkness,2011,
8168,297,2,2,MBox3108911-HH,7,Flogging Molly - Saints & Sinners,211,,Speed of Darkness,11,English
14620,297,4,4,162013-A066,7,007-Saints & Sinners,3m 31sec,Flogging Molly,Speed of Darkness (2011),,Eng.
561,298,1,3,1344271MB-01,6,Приходи - Зн@менатель,4.055,Сплин,,'00,Russian
2355,298,2,4,43547-A011,6,006-,4m 3sec,,@ (2000),,Rus.
3390,298,3,5,3091815,6,Приходи,243293,Сплин,Зн@менатель,2000,Russian
563,299,1,5,15513263,11,Mystery Babylon Dub,234000,Earl Zero,Marketplace,2011,English
1296,299,2,1,WoM31026529,11,Mystery Babylon Dub (Marketplace),03:54,Earl Zero,Marketplace,2011,
572,303,1,4,212331-A08,1,001-See You Again,5m 7sec,Alfeee,"doubt, (1989)",,Jap.
2784,303,2,5,15075476,1,See You Again,307000,Alfee,"doubt,",1989,Japanese
9033,303,3,1,WoM30150942,1,"See You Again (doubt,)",05:07,Alfee,"doubt,",10809,
575,304,1,1,WoM21439224,12,J eveux (unplugged) Z(az),03:47,Zaz,Zaz,2011,
12703,304,2,2,MBox28971917-HH,12,Zaz - Je veux (unplugged),227,,Zaz,11,French
579,305,1,4,146473-A069,57,057-Round the Bend 8 (sting),0m 4sec,Christian Marsac,"Indie, Positive Pop/Rock (2008)",,Eng.
5772,305,2,5,10399619,57,Round the Bend 8 (sting),4000,Christian Marsac,"Indie, Positive Pop/Rock",2008,English
584,308,1,1,WoM31993417,4,Blues for Charlie (Blue and Sentimental),06:48,Ike Quebec,Blue and Sentimental,2010,
2851,308,5,5,15996701,4,Blues for Charlie,408973,Ike Quebec,Blue and Sentimental,2010,English
9978,308,3,3,6955091MB-01,4,Blues for Charlie - Blue and Sentimental,6.816,Ike Quebec,,'10,English
13986,308,2,2,MBox43234322-HH,4,Ike Quebec - Blues for Charlie,408,,Blue and Sentimental,10,English
14246,308,4,4,225306-A08,4,004-Blues for Charlie,6m 48sec,Ike uQebec,BlueandSentimental(2010),,Eng.
594,314,1,3,69745119MB-01,9,Hysteria - Live at Rome Olympic Stadium,5.35,Muse,,'13,English
2899,314,2,4,225935-A033,9,009-Hysteria,5m 21sec,Muse,Live at Rome Olympic Stadium (2013),,Eng.
597,315,1,2,MBox14576420-HH,23,Ralph Stanley & The Clinch Mountain Boys - Going Up Home to Live in Green Pastures,154,,1971-1973,95,English
13480,315,2,3,23449013MB-01,23,Going Up Home to Live in Green Pastures - 1971-1973,2.567,Ralph Stanley & The Clinch Mountain Boys,,'95,English
606,319,1,4,144646-A051,12,012MistyMountains2,1m 4sec,Bryan E. Miller,Film Series: Epic and Heroic (unknown),,Eng.
11491,319,2,5,10269884,12,Misty Mountains 2,64000,E. Miller,Film Series: Epic and Heroic,,English
15776,319,3,1,WoM2053980,12,Misty Mountains 2 (Film Series: Epic and Heroic),01:04,Bryan E. Miller,Film Series: Epic and Heroic,,
608,320,1,2,MBox41977329-HH,9,"Rae & Christian feat. Mystro, Masta Ace & Pete Simpson - A2B",256,,Mercury Rising,13,English
10915,320,2,3,6752881MB-01,9,A2B - Mercury Rising,4.267,"Rae & Christian feat. Mystro, Masta Ace & Pete Simpson",,'13,Englihs
618,325,1,2,MBox3328005-HH,8,The Selecter - Times Hard (live),152,,"Rare Versions, Volume 3",95,English
4375,325,3,4,173431-A025,8,008-Times Hard (live),2m 32sec,The Selecter,"Rare Versions, Vol. III (1995)",,Eng.
4948,325,2,3,53537321MB-01,8,"Times Hard (live) - Rare Versions, Volume 3",.,Selecter,,'95,English
624,329,1,2,MBox16542311-HH,4,Curtis Mayfield - We Got to Have Peace,286,,The Definitive Collection,,English
8842,329,2,3,26611512MB-01,4,We Got to Have Peace - TheDefinitive Collection,4.767,Curtis Mayfield,,,English
10220,329,3,4,86206-A057,4,004-We Got to Have Peace,4m 46sec,Curtis Mayfield,The Definitive Collection (unknown),,Eng.
17480,329,4,5,6120650,4,We Got to Have Peace,286000,Curtis Mayfiled,The Definitive Collection,,English
627,331,1,2,MBox35938016-HH,5,Portishead - Glory Box,,,"2008-04-02: Tonhalle, München, Germany (CMC8 source)",,English
17545,331,2,3,57813312MB-01,5,"Glory Box - 2008-04-02: Tonhalle, München, Germany (CMC8 source)",,Poortishead,,,English
628,332,1,3,10105911MB-01,2,"L'Ivresse des profondeurs - Fahrenheit Project, Part One",6.438,Jaïa,,'01,English
18210,332,2,4,32737-A067,2,002-L'Ivresse des profondeurs,6m 26sec,Jaia,"Fahrenheit Project, Part One (2001)",,Eng.
148,333,2,1,WoM224899,7,Confession (Always Around),04:11,Jack Radics,Always Around,,
629,333,1,5,1124443,7,Conefssion,251800,Jack Radics,Always Around,,English
4437,333,3,2,MBox3039025-HH,7,Jack Radics - Confession,251,,Always Around,,English
10223,333,5,4,15837-A049,7,007-Confession,4m 11sec,Jack Radics,Always Around (unknown),,Eng.
18655,333,4,3,488893MB-01,7,Confession - Always Around,4.197,Jack Radics,,,English
634,337,1,3,19684216MB-01,15,Rock Me Mama - All the Classic its 1938-1952,2.962,Big Joe Turner,,'03,English
4096,337,3,5,4527375,15,Rock Me Mama,177733,Big Joe Turner,All teh Classic Hits 1938-1952,1993,English
9025,337,5,2,MBox12236130-HH,51,Big Joe Turner - Rock Me Mama,177,,All the Classic Hits 1938-1952,3,English
14840,337,2,4,63766-A022,15,015-Rock Me Mama,2m 57sec,BigJoeTurner,All the Classic Hits 1938-1952 (2003),,Eng.
17118,337,4,1,WoM9054741,15,Rock Me Mama (All the Classic Hits 1938-1952),02:57,Big Joe Turner,All the Classic Hits 1938-1952,2003,
644,341,1,4,25588-A06,6,006-Inside the Outside,3m 22sec,The Amboy Dukes,Migration (1991),,Eng.
11964,341,2,5,1816721,6,Inside the Outside,202640,The Amboy Dukes,Migration,1991,English
647,343,1,5,12112744,2,Medley: Theme from Schindler's list / Via dolorosa,424133,Maurice Sklar,Songs of Zion,,
2715,343,4,3,5266418MB-01,2,Medley: Theme from Schindler's list / Via dolorosa - Songs of Zion,7.069,Maurice Sklar,,,
7385,343,2,1,WoM24225510,2,Medley: Theme from Schindler's list / Via dolorosa (Songs of Zion),07:04,Maurice Sklar,USongs of Zion,,
14393,343,3,2,MBox32737129-HH,2,Maurice Sklar - Medley: Theme from Schindler's liCst / Via dolorosa,424,,Songs of Zion,,
648,344,1,1,WoM30194213,7,Herzimaus (I hab Di so gern),02:59,Zillertaler,I hab Di so gern,,
1647,344,2,2,MBox40802936-HH,7,Die Zillertaler - Herzimaus,179,,I hab Di so gern,,German
18373,344,3,3,65639519MB-01,7,Herzimaus - I hab Di so gern,2.998,Zillertaler,,,German
656,349,1,4,79390-A070,5,005-The Warmth in Her Torment,6m 11sec,Eternal Suffering,Remain Forever in Misery (1997),,Eng.
7022,349,4,2,MBox15234411-HH,5,Eternal Suffering - The Warmth in Her Torment,371,,Remain Forever in Misery,97,English
13254,349,3,1,WoM11273443,5,The Warmth in Her Torment (Remain Forever in Misery),06:11,Eternal Suffering,Remain Forever in Misery,1997,
16909,349,2,5,5636727,5,The Warmth in Her Torment,371000,Eternal Suffering,Remain Forever in Misery,1997,English
658,350,1,2,MBox22989536-HH,10,Velvet Acid Christ - Faithless,257,,The Art of Breaking Apart,9,English
12241,350,2,3,36983210MB-01,10,Faithless - The Art of Brreaking Apart,4.283,Velvet Acid Christ,,'09,English
660,352,1,4,57887-A024,40,040-Chem 2: No Volume,1m 0sec,Joridan & Jopn,Audio Osmosis (unknown),,Eng.
1489,352,2,5,4109968,40,Chem 2: No Volume,60653,Jordan & Jon,Audio Osmosis,,English
15793,352,3,1,WoM8219934,40,Chem 2: No Volume (Audio Osmosis),01:00,Jordan & Jon,Audio Osmosis,,
663,353,1,4,180312-A025,17,017-Inventaire,3m 39sec,Alex Beaupain,Les Chansons d'amour (2008),,Fre.
3049,353,3,1,WoM25604310,17,Inventaire (Les Chansons d'amour),03:39,Alex Beaupain,Les Chansons d'amour,2008,
3599,353,2,5,12802144,17,Inventaire,219000,Alex Beaupain,Les Chansons d'amour,2008,FrenPch
16202,353,4,2,MBox3460048-HH,17,Alex Beaupain - Inventaire,219,,Les Chansons d'amour,8,
665,355,1,4,42269-A042,9,009-Paltrow and the Cubs,unknown,Guster,"2003-10-20: Urbana, IL, USA (unknown)",,unknown
1145,355,3,1,WoM6002224,9,"Paltrow and the Cubs (2003-10-20: Urbana, IL, USA)",00:00,Guster,"2003-10-20: Urbana, IL, USA",,
17587,355,2,5,3001108,9,Paltrow and the Cubs,,Guster,"2003-10-20: Urbana, IL, USA",,
671,358,1,5,3303760,7,Why (Am I Treated So Bad),217000,"Julie Driscoll, Brian Auger & The Trinity",Open,1967,English
7807,358,3,2,MBox892915-HH,7,"Julie Driscoll, Brian Auger & The Trinity - Why (Am I Treated So Bad)",217,,Opefn,67,EngliZsh
10364,358,2,1,WoM6607526,7,Why (Am I Treated So Bad) (Open),03:37,"Julie Driscoll, Brian Auger & The Trinity",Open,1967,
673,359,1,1,WoM7369535,4,How Long Has It Been (The Classic Years 1952-1962),02:17,Faron Young,The Classic Years 1952-1962,1992,
6365,359,3,3,16020715MB-01,4,How Long Has It Been - The Classic Years 1952-1962,2.298,Faron Young,,'92,English
16345,359,2,2,MBox9958825-HH,4,Faron Young - How Long Has It Been,137,,The Classic Years 1952-1962,92,English
675,360,1,1,WoM4922718,13,Who? (Kern) (Sounds of Wonder from Down Under),02:45,John Atwell,Sounds of Wonder from Down Under,,
4430,360,2,2,MBox6652313-HH,13,John Atwell - Who? (Kern),165,,Sounds of Wonder from Down Under,,
678,361,1,1,WoM2453527,9,Kling Klong (original mix) (Dada Life's Musical Freedom),02:47,Audionite,Dada Life's Musical Freedom,,
6953,361,3,3,53337319MB-01,9,Kling Klong (original mix) - Dada Life's Musical Freedom,2.783,Audionite,,,English
13073,361,2,2,MBox33155631-HH,9,Audionite - Kling Klong (original mix),167,,Dada Life's Musical Freedom,,English
682,363,1,2,MBox37765615-HH,1,B.R.O - Na full,,,High School,13,Polsih
11268,363,2,3,6075340MB-01,1,Na full - High School,,B.R.O,,'13,Polish
12135,363,4,5,13973275,1,Na Na,,B.R.O,High School,unknown,Polish
17135,363,3,4,196807-A011,1,001-Na full,unknown,B.R.O,High School (2013),,Pol.
687,366,1,2,MBox2747455-HH,5,Underworld - Always Loved a Film (Solo remix),,,Always Loved a Film,10,English
1798,366,2,3,4419812MB-01,5,Always Loved a Film (Solo remix),,Underworld,Alwas Loved a Film,'10,English
7339,366,3,4,143177-A024,5,005-Always Loved a Film (Solo remix),unknown,Underworld,Always Loved a Film (2010),,Eng.
691,368,1,4,169660-A047,10,010-I'll Never Get Over You,4m 37sec,John Hiatt,Master Series (unknown),,Eng.
9237,368,4,2,MBox32556418-HH,10,John Hiatt - I'll Never Get Over You,277,,Series Master,,English
17671,368,3,1,WoM24091740,10,I'll Never Get Over You (Master Series),04:37,John Hiatt,Master Series,,
17674,368,2,5,12045874,10,I'll Never Get Over You,277706,John Hiatt,Master,,English
705,378,1,5,16542434,3,"Symphony №1 in C minor, op. 11: III. Menuetto & Trio, Allegro di Molto",323369,Feli xMendelssohn,The Complete Symphonies,2010,English
3116,378,5,4,232992-A035,3,"003-Symphony 1 in C minor, op. 11: III. Menuetto & Trio, Allegro di Molto",5m 23sec,Felix Mendelssohn,The Complete Symphonies (2010),,Eng.
6484,378,3,2,MBox4470935-HH,3,"Felix Mendelssohn - Symphony №1 in C minor, op. 11: III. Menuetto & Trio, Allegro di Molto",323,,unknown,10,English
15503,378,2,1,WoM3308490,3,"Symphony №1 in C minor, op. 11: III. Menuetto & Trio, Allegro di Molto (The Complete Symphonies)",05:23,Felix Mendelssohn,The Complete Symphonies,2010,
18462,378,4,3,71923613MB-01,3,"Symphony №1 in C minor, op. 11: III. Menuetto & Trio, Allegro di Molto - The Complete Symphonies",5.389,Felix Mendelssohn,,'10,English
709,379,1,2,MBox11517015-HH,20,Carleton H. Sheets - Testimonials - Chap. 12,34,,No Down Payent,,English
1855,379,2,3,18527321MB-01,20,Testimonials - Chap. 12 - No Down Payment,0.5 75,Carleton H. Sheets,,,English
710,380,1,3,22026414MB-01,2,Enigmatic - Growlanser Generations,2.797,Hiroshi Fujioka,,'01,English
9319,380,2,4,71353-A049,2,002-Enigmatic,2m 47sec,Hiroshi Fujioka,Growlanser Generations (2001),,Eng.
719,384,1,4,134553-A06,308,308-Rhythm Trekker,0m 29sec,Dezrok,Promos 4: Dance Beatz (unknown),,Eng.
3043,384,3,1,WoM1910652,308,Rhythm Trekker (Promos 4: Dance Beatz),00:29,Dezrok,Promos 4: Dance Beatz,,
15267,384,2,5,9553236,308,,29000,Dezrok,Promos 4: Dance Beatz,,English
721,385,1,3,5339114MB-01,20,Def. Con. One - Box,3.717,Pop Will Eat Itself,,'11,English
9518,385,2,4,172957-A036,20,n.a.,3m 43sec,Pop Will Eat Itself,Box Frenzy (2011),,Eng.
13969,385,3,5,12279950,20,Def. Con. One,223000,Pop Will Eat Itself,Bo xFrenzy,2011,English
725,388,1,1,WoM1836792,5,My Way (The Collection),03:34,Tom Jones,The Collection,2000,
8294,388,2,2,MBox24821430-HH,5,Tom Jones - My Way,214,,The Collection,0,English
726,389,1,4,187103-A09,2,002-Romance Of Falling,4m 43sec,Giant Sand,Ramp (2011),,Eang.
10177,389,2,5,13284289,2,Romance Of Falling,283186,Giant Sand,Ramp,2011,English
731,391,1,3,28131020MB-01,3,After All - Ace,5.933,Ian Van Dahl,,'02,English
10629,391,2,4,91129-A017,3,003-After All,5m 56sec,Ian Van Dahl,Ace (2002),,Eng.
735,393,1,5,16568574,1,Call Me,251960,Eliane Elias,Dreamer,2005,English
3634,393,3,2,MBox44779923-HH,1,Eliane Elias - Call Me,251,,Dreamer,5,English
12039,393,2,1,WoM33137140,1,Call Me (Dreamer),04:11,Eliane Elias,Dreamer,2005,
740,395,1,1,WoM18676942,49,Save Me (full mix) (Commercial Cuts vNol 14),00:20,Radomír Šrámek & Vladimír Šimůnek,Commercial Cuts vol 14,,
2776,395,3,3,4060210MB-01,49,Save Me (full miix) - Commercial Cuts vol 14,0.333,Radomír Šrámek & Vladimír Šimůnek,,,English
15507,395,2,2,MBox25239121-HH,49,Radomír Šrámek & Vladimír Šimůnek - Saev Me (full mix),20,,Commercial Cuts vol 14,,English
742,396,1,1,WoM3379724,10,They Don't Know (Memoirs of the Elephant Man),00:00,Busdriver,Memoirs of the Elephant Man,2001,
18653,396,2,2,MBox456726-HH,MBox456726-HH,Busdriver - They Don't Know,,,Memoirs of the Elephant Man,1,English
745,397,1,3,5301337MB-01,8,Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga - Goldbergvariaties,1.233,Johann Sebastian Bach,,'10,Italian
11252,397,2,4,171733-A049,8,008-Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga,1m 14sec,Johann Sebastian Bach,Goldbergvariaties (2010),,Ita.
750,400,1,1,WoM1255555,15,Ricky's Popsofa: JJ Cooly (Best Of),05:16,Wochenshow,Best Of,1998,
8617,400,4,4,88419-A023,15,015-Ricky's Popsofa: JJ Cooly,5m 16sec,Die Wochenshow,Best Of (1998),,Ger.
13770,400,2,2,MBox16966835-HH,15,Die Wochenshow - Ricky's Popsofa: JJ Cooly,316,,Best Of,98,German
17607,400,3,3,27294511MB-01,15,Ricky's Popsofa: JJ Cooly - Best Of,5.279,Wochenshow,,'98,German
751,401,1,4,81864-A029,1,001-Watt Bird,unknown,Moonbootica,Watt Bird / Break of Light (2006),,Eng.
1042,401,5,3,25271017MB-01,1,Watt Bird - Watt Bird / Break of Light,,Moonbootica,,'06,English
1742,401,2,5,5812340,1,Watt Bird,,Moonbootica,Watt Bird / Break of Light,2006,English
5777,401,3,1,WoM1162476,1,Watt Bird (Watt Bird / Break of Light),00:00,Moonbootica,Watt Bird / Break of Light,2006,
16115,401,4,2,MBox15709022-HH,1,Moonbootica - Watt Bird,,,Watt Bird / Break of Light,6,English
754,402,1,5,6933313,1,Lost,,klein,the next small thing,2006,English
3921,402,2,1,WoM13866629,1,Lost (the next small thing),00:00,klein,the next small thing,2006,
10722,402,3,2,MBox1873876-HH,1,klein - Lost,,,the next smal l thing,6,English
115,404,2,2,MBox30367420-HH,4,Пётр Ильич Чайковский - Pas d'action,623,,Dornröschen / Der Zauberladen,,
757,404,1,1,WoM22471912,4,Pas d'action (Dornröschen / Der Zauberladen),10:23,Пётр Ильич Чайковский,Dornröschen / Der Zauberladen,,
9073,404,4,4,158253-A016,4,004-Pas-d'action,10m 23sec,  ,Dornroschen / Der Zauberladen (unknown),,unknown
17253,404,3,3,48851916MB-01,4,Pas d'action - Dornröschen / Der Zauberladen,10.383,Пётр Ильич Чайковский,,,
154,406,3,2,MBox14046530-HH,9,Herb Alpert - Silent Tears And Roses,231,,Midnight Sun,92,English
760,406,1,5,5197223,0,Silent Tears And Roses,231533,Herb Alpert,Midnight Sun,1992,English
1655,406,2,1,WoM10394439,9,Silent Tears And Roses (Midnight Sun),03:51,Herb Alpert,Midnight  Sun,1992,
16436,406,5,4,73200-A056,9,009-Silent Tears And Roses,3m 51sec,Herb Alpert,Midnight Sun (1992),,Eng.
19375,406,4,3,22596612MB-01,9,Silent Tears And Roses - Midnight Sun,3.859,Herb Alpert,,'92,English
762,407,1,1,WoM29640429,5,Čist' drug svet (Lajf navadnega človeka),00:00,Flirrt,Lajf navadnega lčloveka,2013,
4976,407,3,3,6443579MB-01,5,Čist' drug svet - Lkajf navadnega človeka,,Flirrt,,'13,Slovenian
12005,407,2,2,MBox40054623-HH,5,Flirrt - Čist' drug svet,,,Lajf navadnega človeka,13,Slovenian
764,408,1,2,MBox9111731-HH,6,Canned Heat - Let's Work Together,193,,Future Blues,0,English
8936,408,2,3,14658015MB-01,6,Let's Work Together - Future Blues,3.224,Canned Heat,,'00,English
772,412,1,3,71630221MB-01,6,"I Loves You, Porgy - Porgy and Bess",6.134,Médéric Collignon,,,English
14965,412,2,4,232042-A011,"006-I Loves You, Porgy","006-I Loves You, Porgy",6m 8sec,Mederic Collignon,Porgy and Bess (unknown),,Eng.
775,413,1,1,WoM104180,19,The Bridge (Lost Souls),01:14,Jan A.P. Kaczmarek,Lost Souls,2000,
16757,413,2,2,MBox1407810-HH,19,Jan A.P. Kaczmarek - The Bridge,64,,Lost Souls,0,
776,414,1,3,62489618MB-01,4,Still a Rat - Ill Gotten Gains,2.701,Tanner,,'95,English
9705,414,3,5,14372619,4,Still a Rat,162040,Tanner,Ill Gotten Gains,1995,English
11859,414,2,4,202431-A05 1,4,004-Still a Rat,2m 42sec,Tanner,Ill Gotten Gains (1995),,Eng.
777,415,1,4,28655-A08,10,"-journey o 1,000 Yeasrs",4m 52sec,KISS,Psycho Circus (unknown),,Eng.
7347,415,5,3,8845522MB-01,10,"Journey of 1,000 Years - Psycho Circus",4.868,KISS,,,English
15697,415,3,1,WoM4068946,10,"Journey of 1,000 Years (Psycho Circus)",04:52,KISS,Psycho Circus,,
15744,415,2,5,2034480,10,"Journey of 1,000 Years",292093,KISS,Psycho Circus,,English
18781,415,4,2,MBox5498610-HH,10,"KISS - Journey of 1,000 Years",292,,P sycho Circus,,English
778,416,1,5,13002975,8,God's Death (Grave Version),110619,Absurd,Life Beyond the Grave: 1992-1994,2010,[Multiple languages]
10669,416,2,1,WoM26005941,8,God's Death (Grave Version) (Life Beyond the Grave: 1992-1994),01:50,Absurd,Beyond Beyond the Grave: 1992-1994,2010,
781,417,1,4,56315-A055,9,009-Wake Up,3m 28sec,Hooverphoonic,No More Sweet Music (2005),,Eng.
5756,417,2,5,3998387,9,Wake Up,208613,Hooverphonic,No More Sweet Music,2005,English
786,419,1,4,36658-A044,14,014-Sugar Sugar,3m 47sec,Laurel Aitken,"Rolling Stone: Rare Trax, Volume 5: in Summer the City (1998)",,Eng.
1101,419,4,2,MBox7034413-HH,14,Laurel Aitken - Sugar Sugar,227,,"Rolling Stone: Rare Trax, Volume 5: Summer in the City",98,English
8316,419,5,3,11316210MB-01,14,"Sugar Sugar - Rolling Stone: Rare Trax, Volume 5: Summer in the City",3.797,Laurel Aitken,,'98,English
11986,419,2,5,2602729,14,Sugar Sugar,227826,Laurel Aitken,"Rolling Stone: Rare Trax, Volume 5: Summer in the City",1998,English
17098,419,3,1,WoM5205445,14,"Sugar Sugar (Rolling Stone: Rare Trax, Volume 5: Summer in the City)",03:47,Laurel Aitken,"Rolling Stone: Rare Trax, Volume 5: Summer in the City",1998,
787,420,1,1,WoM27350345,2,Cheese and Freckles (Knock Knock! Who's There?),03:43,Moustache of,Knock Knock! Who's There?,,
16005,420,2,2,MBox36959928-HH,2,Moustache of Insanity - Cheese and Freckles,223,,Knock Knock! Who's There?,,English
788,421,1,5,15327980,3,It Don't Have To Be Funky (To Be A Groove),292000,The Salsoul Orchesttra,Nice 'n' Naasty,2013,English
3404,421,3,2,MBox4142702-HH,3,The Salsoul Orchestra - It Don't Have To Be Funky (To Be A Groove),292,,Nice 'n' Naasty,13,English
18988,421,2,1,WoM30655946,3,It Don't Have To Be Funky (To Be A Groove) (Nice 'n' Naasty),04:52,Salsoul Orchestra,Nice 'n' Naasty,2030,
792,423,1,2,MBox9603520-HH,2,The Dukes of Stratosphear - Have You Seen Jackie?,225,,Psonic Psunspot,87,English
2005,423,3,4,50046-A070,2,002-Have You Seen Jackie?,3m 45sec,The Dukes of Stratosphear,sPonic Psunspot (1987),,Eng.
12642,423,2,3,15449117MB-01,2,Have You Seen Jackie? - Psonic Psunspot,3.75,Dukes of Stratosphear,,'87,English
794,424,1,1,WoM808845,12,Mommy (Abigail II: The Revenge),06:26,King Diamond,Abigail II: The Revenge,2002,
17847,424,2,2,MBox1093031-HH,12,King Diamond - Mommy,386,,Abigail II: The Revenge,2,English
796,425,1,3,2837914MB-01,7,Duggie Dohl - Twelve Inch Confrontation Mix,4.805,Black Star Liner,,,
13543,425,2,4,9193-A054,7,007-Dugge Dohl,4m 48sec,Black Star Liner,Twelve Inch Confrontation Mix (unknown),,unknown
798,427,1,1,WoM2248226,5,Monostereo (gum monoblond),03:46,monoblond,gum monoblond,2001,
10454,427,3,3,4887438MB-01,5,Monostereo - gum monoblond,3.767,monoblond,,'01,English
17510,427,2,2,MBox30381321-HH,5,monoblond - Monostereo,226,,gum monoblond,1,English
802,428,1,5,12600057,B,No Deeper Than Dredge Boats in Flood Waters,,Cavity,Fuck Diablo,1997,English
11891,428,4,3,54782820MB-01,B,No Deeper Than Dredge Boats in Flood Waters - Fuck Diablo,,Cavity,,'97,English
15336,428,2,1,WoM25200123,00B,No Deeper Than Dredge Boats in Flood Waters (Fuck Diablo),00:00,Cavity,Fuck Diablo,1997,
16386,428,3,2,MBox34054215-HH,B,Cavity - No Deeper Than Dredge Boats in Folod Waters,,,Fuck Diablo,97,English
809,432,1,4,116232-A013,2,002-Ezumdda,3m 14sec,Headache,War I - Destructors of the Mind (2008),,Eng.
5863,432,2,5,8252452,2,Ezumdda,194000,Headache,War I - Destructors of the Mind,2008,English
813,435,1,1,WoM6723734,8,"Seek & Destroy (2004-07-02: Werchter, Belgium)",00:00,Metallica,"2004-07-02: Werchter, Belgium",2004,
7351,435,2,2,MBox9086123-HH,8,Metallica - Seek & Destroy,,,"2004-07-02: Werchter, Belgium",0 4,English
14056,435,3,3,14616811MB-01,8,"Seek & Destroy - 2004-07-02: Werchter, Belgium",,Metallica,,'04,English
815,437,1,2,MBox26167717-HH,10,Larry Dean - I Should Have Caught My Heart Before It Fell,161,,Completely Live,97,English
929,437,2,3,4209594MB-01,10,I Should Have Caught My Heart Before It Fell - Completely Live,2.687,Larry Dean,,'97,English
818,438,1,3,2022623MB-01,2,"Requiem, Op. 5: X. Agnus Dei - Berlioz: Requiem / Boito: Prologue to Mefistofele / Verdi: Te Deum (Atlanta Symphony Orchestra & Chorus feat. conductor: Robert Shaw, tenor: John Aler, bass: John Cheek)",12.479,Hector Berlioz,,'85,English
